Name: English USA;Aloe Vera;Artichoke;Arugula;Asparagus;Avocado;Beetroot;Black Lentil;Black Tea Leaf;Blackberry;Blueberry;Broccoli;Brussels Sprouts;Carrot;Cauliflower;Chayote;Cherry Tomato;Chicory;Coffee Bean;Corn;Cotton;Cucumber;Currant;Eggplant;Elderberry;Fennel Bulb;Fig;Garlic;Ginger;Ground Cherry ;Green Bell Pepper;Green Chili Pepper;Green Grape;Green Lentil;Green Tea Leaf;Habanero;Honeydew Melon;Hops;Horned Melon;Iceberg Lettuce;Jackfruit;Jalapeno;Jicama;Kiwi;Kohlrabi;Lavender;Leek;Lotus Root;Lulo;Lychee;Mulberry;Mustard Greens;Papaya;Parsnips;Passionfruit;Peanut;Peas;Pineapple;Pistachio;Pumpkin;Radicchio;Radish;Red Radish;Raspberry;Red Bell Pepper;Red Chili Pepper;Red Grape;Red Potato;Rhubarb;Rice;Romaine Lettuce;Romanesco Broccoli;Soybean;Spinach;Strawberry;Sugar Beet;Sugarcane;Sunflower;Sweet Potato;Taro Root;Tarragon;Tomato;Vanilla;Wasabi;Watermelon;Wheat;Yellow Bell Pepper;Yellow Chili Pepper;Yellow Lentil;Yellow Pumpkin;Zucchini 
Energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buy price;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sell price;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Used in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Favor through sacrifice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crop Params;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rarity;4;1;1;2;4;1;1;2;2;2;1;3;1;3;2;1;2;3;1;3;2;2;1;2;2;3;1;2;1;1;2;2;1;2;3;4;2;4;1;2;10;4;3;1;3;1;1;3;3;2;1;3;1;3;1;1;4;3;4;3;1;1;2;1;2;2;1;2;1;1;2;1;1;3;1;2;1;3;1;1;2;4;2;4;1;1;2;1;3;2
Days to grow;25;9;5;10;15;6;8;9;8;7;7;13;7;12;9;10;10;15;7;12;7;10;6;9;11;13;6;9;7;9;9;9;8;9;8;13;8;14;5;8;9;18;11;6;8;7;4;10;12;8;6;7;7;11;8;9;14;10;18;14;7;5;9;9;9;9;8;9;5;6;12;7;7;8;8;9;10;9;5;6;11;17;10;19;4;9;9;8;15;9
Leaves hole?;false;false;false;false;false;true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;true;false;true;true;false;false;false;true;false;true;false;true;false;false;false;false;false;true;true;false;false;false;false;true;false;false;false;false;false;false;false;true;false;false;true;true;false;false;false;true;false;false;false;false;false;false;false
Is harvested by scythe?;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
Can regrow?;false;true;true;false;true;false;true;true;true;true;true;false;false;true;true;true;false;true;true;false;true;true;true;true;false;true;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;false;false;false;true;true;true;false;true;false;true;false;true;true;true;true;true;false;false;true;true;true;true;false;false;false;true;true;true;true;true;false;false;false;false;false;true;true;true;false;true;false;true;true;true;true;true
Time to regrow;0;6;3;0;4;0;6;3;6;5;4;0;0;7;7;8;0;4;5;0;6;8;5;8;0;7;0;0;5;6;6;5;6;3;4;9;7;8;3;7;5;0;9;0;0;0;0;9;7;7;0;6;0;6;0;3;9;8;11;10;0;0;8;6;6;5;0;0;0;4;8;5;4;4;0;0;0;0;0;3;7;12;0;10;0;6;6;5;7;5
Seasons to grow;Spring;Autumn;Spring;Spring;Spring;Summer;Summer;Spring;Summer;Summer;Spring;Spring;Summer;Summer;Autumn;Autumn;Spring;Summer;Autumn;Autumn;Autumn;Autumn;Summer;Autumn;Spring;Summer;Summer;Autumn;Summer;Summer;Summer;Autumn;Summer;Spring;Spring;Autumn;Autumn;Summer;Summer;Spring;Autumn;Spring;Autumn;Spring;Summer;Summer;Spring;Autumn;Spring;Summer;Autumn;Spring;Spring;Summer;Summer;Spring;Spring;Autumn;Autumn;Summer;Summer;Spring;Autumn;Summer;Summer;Autumn;Spring;Summer;Autumn;Spring;Spring;Autumn;Spring;Spring;Autumn;Spring;Autumn;Autumn;Spring;Spring;Autumn;Summer;Spring;Autumn;Autumn;Summer;Summer;Autumn;Autumn;Summer
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Min item amount to spawn;5;1;2;4;2;1;8;2;2;5;1;5;3;1;2;3;1;4;3;4;1;6;1;8;1;2;3;3;2;2;3;3;8;2;2;1;5;2;1;2;2;2;3;1;3;2;1;2;2;3;1;1;1;2;3;2;1;4;1;1;1;1;3;2;3;3;3;3;3;1;1;2;2;2;1;3;1;3;1;2;2;3;1;1;3;2;3;8;1;1
Max item amount to spawn;7;1;4;6;3;1;10;4;4;7;1;7;4;1;3;4;1;6;4;6;1;7;1;10;1;3;4;4;4;3;4;4;10;4;3;1;6;4;1;3;4;4;4;1;4;3;3;3;4;4;1;2;1;4;4;4;1;6;1;1;2;1;5;3;4;4;4;4;4;2;1;4;4;4;2;5;1;4;1;4;4;4;1;1;5;3;4;10;1;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3rd stage;8;3;2;3;5;2;3;3;3;2;2;4;2;4;3;3;3;5;2;4;2;3;2;3;4;4;2;3;2;3;3;3;3;3;3;4;3;5;2;3;3;6;4;2;3;2;2;3;4;3;2;2;2;4;3;3;5;3;6;5;2;2;3;3;3;3;3;3;2;2;4;2;2;3;3;3;3;3;2;2;4;6;3;6;2;3;3;3;5;3
4th stage;16;6;3;6;10;4;5;6;5;4;4;8;4;8;6;6;6;10;4;8;4;6;4;6;7;8;4;6;4;6;6;6;5;6;5;8;5;9;3;5;6;12;7;4;5;4;3;6;8;5;4;4;4;7;5;6;9;6;12;9;4;3;6;6;6;6;5;6;3;4;8;4;4;5;5;6;6;6;3;4;7;11;6;12;3;6;6;5;10;6
